,Common Name,Kingdom,Phylum,Class,Order,Family,Binomial Name,Link,Description
0,Abbott's Booby,Animalia,Chordata,Aves,Suliformes,Sulidae,Papasula abbotti,https://ebird.org/species/abbboo2,"Gangly, stretched-out-looking black-and-white seabird. Strikingly slender and strange-looking in flight. Breeds in the rainforest canopy of Christmas Island, and forages in the adjacent ocean. Some birds, especially immatures, will forage much farther afield, but the extent of these rangings is still poorly understood. Bizarre long-necked and slender-winged profile is unique, and should readily distinguish this species from any others in range. Bill is pale pink in females and grayish in males."
0,Abbott's Starling,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Poeoptera femoralis,https://ebird.org/species/abbsta2,"A small, distinctive starling with a tiny range in Kenya and Tanzania. The male has a blue-black back and breast and a white belly. Females have a brown back and breast and a pale belly with brown streaks. Both sexes show a yellow eye. Uncommon and local in montane forest. Found in the canopy, in pairs or small flocks, often perching up conspicuously on dead snags and other open perches. Similar to Sharpe’s Starling, but has a dark breast. The calls include a sharp “sveet” and the song is a rapid, high-pitched tinkling phrase."
0,Abdim's Stork,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia abdimii,https://ebird.org/species/abdsto1,"A medium-sized, dark stork with a white belly. This gregarious African migrant often appears in huge nomadic flocks numbering in the thousands, normally in response to heavy rains or large fires, after which they forage on insect emergences. It prefers open grassland and woodland but also uses wetland margins and fields. Could be confused with the more solitary Black Stork, but Abdim’s Stork is smaller, has a white rump, and has a green-gray (not red) bill and dull (not bright red) legs."
0,Aberdare Cisticola,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola aberdare,https://ebird.org/species/abecis1,"A large and relatively colorful cisticola endemic to Kenya, found locally in montane grassland and moorland. The cap and back of the neck are dull rufous with darker streaking, the back is heavily streaked with black, and there is a rufous panel in the wings. As with other cisticolas, habitat and vocalizations are important to identification. Very similar to Stout Cisticola, but has streaking on the back of the neck. The common vocalizations are a quick series of several squeaky notes, and a series of lower liquid notes."
0,Aberrant Bush Warbler,Animalia,Chordata,Aves,Passeriformes,Scotocercidae,Horornis flavolivaceus,https://ebird.org/species/abbwar1,"Small shy warbler. Dull brown with a paler belly and brow stripe. Like most bush-warblers, difficult to see as it moves through dense foliage. Listen for its sweet song, consisting of a few introductory notes followed by two long whistles: “ti-ti-tchew weeeeee-cheeeeee’. Visually very difficult to separate from Yellowish-bellied Bush Warbler and Brownish-flanked Bush Warbler, and differences are extremely subtle. Himalayan breeders average more greenish on the back than either of the other two species, and have a strong yellow wash on the belly; Brownish-flanked, with which Aberrant overlaps in the eastern Himalayas, is much browner overall. In central China, Aberrant overlaps with Yellowish-bellied, which has a pale gray throat instead of a yellowish-buff one. Aberrant breeds in shrubby edge, bamboo stands, and open bushy areas in montane and hill areas; upper altitudinal limit averages higher than both Yellowish-bellied and Brownish-flanked."
0,Abert's Towhee,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melozone aberti,https://ebird.org/species/abetow,"Large, plain, long-tailed sparrow. Drab grayish-brown overall, with dark mask like a Northern Cardinal. Also note pinkish bill and orange undertail coverts. Inhabits riparian corridors, especially in dense brush. Mainly occurs in the Sonoran Desert of Arizona, barely extending into surrounding states and northern Mexico. Rather secretive as it forages on the ground for seeds and insects. Visits feeders."
0,Abyssinian Catbird,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia galinieri,https://ebird.org/species/abycat1,"An unusual and distinctive warbler of the Ethiopian highlands. Mostly gray with chestnut under the tail, a red eye, black between the eye and bill, and a white patch above the eye. Found in dry montane juniper and hagenia forest. Easily separated from other gray warblers by the dark gray underparts and rufous undertail. Sometimes skulking, but will sing in the open; the male’s song is an explosive, variable combination of musical, fluted notes, usually accompanied by low ratcheting from the female."
0,Abyssinian Crimsonwing,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Cryptospiza salvadorii,https://ebird.org/species/abcwin1,"Small, dark member of the waxbill family. The back is red, the wings and tail black, and the underparts gray. Males and females are similar, though males show a bit of red on the flanks. Found in montane forest, mainly in thick and wet areas such as along streams, including forest edge and glades. Inconspicuous bird that is usually found in pairs or small groups. The call is a high-pitched “tsit.” Similar in size and overall coloration to Red-faced Crimsonwing, but darker, and doesn’t show red or yellow on the face."
0,Abyssinian Ground-Hornbill,Animalia,Chordata,Aves,Bucerotiformes,Bucorvidae,Bucorvus abyssinicus,https://ebird.org/species/noghor1,"A huge ground-dwelling hornbill. Males have a mix of blue and red bare facial skin, while females have entirely blue facial skin. In flight, a large white patch is revealed in the wings. Found in savanna, grassland, and agricultural habitats, usually in pairs or small groups, walking on the ground. Breeds and roosts in trees. Similar to Southern Ground-Hornbill, but there is little overlap in range, and Abyssinian is easily separated by the blue facial skin. The call is a series of deep “boop” notes."
0,Abyssinian Ground-Thrush,Animalia,Chordata,Aves,Passeriformes,Turdidae,Geokichla piaggiae,https://ebird.org/species/abgthr1,"Large, brown-backed, orange-breasted thrush with bold white wingbars. Found in the understory of montane forest. Generally shy and scarce. The song is a musical and typically thrush-like, a chatty and cheerful series of whistles and chuckles. The call is a very thin, rising trill. Very similar to Orange Ground-Thrush, but has a different pattern on the head: an orange crown, a plain face, and a complete white eye-ring."
0,Abyssinian Longclaw,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Macronyx flavicollis,https://ebird.org/species/abylon1,"A large and relatively colorful member of the pipit family. Note the black necklace, orange throat, and partially yellow eye-stripe. The white corners of the black tail are conspicuous during the weak, fluttering flight. Found on the ground in montane grassland, often in wet areas. Brownish immatures can be confused with pipits, but are larger and more robust. The vocalizations include “tsik” calls and whistles."
0,Abyssinian Owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio abyssinicus,https://ebird.org/species/aleowl1,"A medium-sized owl with prominent ear tufts. The orange eyes are set in a brown facial disc. The breast is heavily streaked, and the belly barred. Found very locally in montane habitats including forest, heath, and sometimes open country. Similar to Spotted Eagle-Owl, but slightly smaller, slimmer, and browner, with longer ear tufts. Somewhat like Grayish Eagle-Owl, but with orange eyes. The call is a long, deep hoot."
0,Abyssinian Roller,Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias abyssinicus,https://ebird.org/species/abyrol2,"A slim and beautiful roller with very long outer tail feathers. In flight, the spectacular wings are half pale blue and half dark blue. Found in dry savanna and other open country. Usually seen singly or in pairs. Easily separated from Lilac-breasted Roller by the blue throat. Occasionally lacks elongated outer tail feathers, and then very similar to European Roller, but separated by the dark blue rather than black outer wing. The calls are rough rasps."
0,Abyssinian Scimitarbill,Animalia,Chordata,Aves,Bucerotiformes,Phoeniculidae,Rhinopomastus minor,https://ebird.org/species/absbil1,"This all-black bird has a curved orange bill and a fairly long tail. Northern birds have white bars across the wings, which are conspicuous in flight, while southern birds have entirely black wings. Found in dry savanna and thornscrub. Separated from other scimitarbills by its orange bill. Similar to some woodhoopoes, but separated by its smaller size, shorter all-black tail, and black legs. Vocalizations include a series of wavering, rising notes and an agitated-sounding series of “dok” notes."
0,Abyssinian Slaty-Flycatcher,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Melaenornis chocolatinus,https://ebird.org/species/abyslf1,"A gray-brown flycatcher endemic to the Abyssinian highlands. Darker on the upperparts and paler below with a distinctive white eye. Found in montane habitats including woodland, forest edge, and lush gardens. Could be confused with African Gray or Pale Flycatchers, but found in different habitats, and easily identified by the pale eye. Found in the same areas as African Dusky Flycatcher, but larger, with a pale eye."
0,Abyssinian Ground-Thrush,Animalia,Chordata,Aves,Passeriformes,Turdidae,Geokichla piaggiae,https://ebird.org/species/abgthr1,"Large, brown-backed, orange-breasted thrush with bold white wingbars. Found in the understory of montane forest. Generally shy and scarce. The song is a musical and typically thrush-like, a chatty and cheerful series of whistles and chuckles. The call is a very thin, rising trill. Very similar to Orange Ground-Thrush, but has a different pattern on the head: an orange crown, a plain face, and a complete white eye-ring."
0,Abyssinian Wheatear,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe lugubris,https://ebird.org/species/mouwhe4,"A dark wheatear in which males and females are very different. Males are black above with a dark-streaked gray cap. There is individual and geographical variation in belly color, which can be either black or white. Females have a dark brown back and heavily streaked paler underparts. Both sexes have a buff undertail and a black-and-buff tail with a “T” pattern that is conspicuous in flight. Found in rocky areas with some trees and shrubs. White-bellied males can resemble other wheatears, but are distinguished by their black-and-buff tail. The song is a long, musical jumble of whistles and chatty notes."
0,Abyssinian Woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Chloropicus abyssinicus,https://ebird.org/species/abywoo1,"A small, short-tailed woodpecker of the Abyssinian highlands. Note the pure golden-green back and the white facial streaks that frame a dark cheek. Males have a red cap and females a dark one. Found in montane woodland and open forest. Within its small range, most similar to Cardinal Woodpecker, but separated by the slightly larger size, the dark cheek, and the brighter yellow back. Quiet and inconspicuous, but sometimes gives a high, rattling call."
0,Acadian Flycatcher,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax virescens,https://ebird.org/species/acafly,"Small flycatcher with big peaked head and relatively long bill. Extremely similar to several other species, especially Alder and Willow Flycatchers. Greenish-olive above and pale whitish below. Note thin white eyering and very long wingtips. Best distinguished from other flycatchers by habitat and voice. Birds near the northern end of breeding range prefer shaded ravines with mix of hemlocks and deciduous trees; farther south, found in mature deciduous forests. Tends to stay high in the canopy. Song is an explosive “pwit-SIP!,” call note is a sharp “pweek!”"
